tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2019,8,20190817,Ohio State,NA,Yale B,W,365,30,14,3,14,240,17.14,Illinois-A / Wright St
ACF Nationals 2019,8,20190817,Yale B,UG,Ohio State,L,30,365,2,4,2,30,15,Illinois-A / Wright St
ACF Nationals 2019,8,20190818,Florida A,NA,Michigan State,L,75,340,5,7,5,60,12,Illinois-A / Wright St
ACF Nationals 2019,8,20190818,Michigan State,UG,Florida A,W,340,75,13,2,13,220,16.92,Illinois-A / Wright St
ACF Nationals 2019,9,20190901,Penn A,NA,Yale A,W,320,120,14,2,14,190,13.57,Editors 5
ACF Nationals 2019,9,20190901,Yale A,NA,Penn A,L,120,320,5,2,5,80,16,Editors 5
ACF Nationals 2019,9,20190902,Berkeley B,NA,Johns Hopkins,W,240,155,11,2,11,140,12.73,Editors 5
ACF Nationals 2019,9,20190902,Johns Hopkins,NA,Berkeley B,L,155,240,8,1,8,80,10,Editors 5
ACF Nationals 2019,9,20190903,Stanford A,NA,Virginia A,W,235,170,10,3,10,150,15,Editors 5
ACF Nationals 2019,9,20190903,Virginia A,NA,Stanford A,L,170,235,8,2,8,100,12.5,Editors 5
ACF Nationals 2019,10,20191001,Iowa,UG,Wright State,L,80,90,5,4,5,50,10,Editors 1
ACF Nationals 2019,10,20191001,Wright State,NA,Iowa,W,90,80,5,0,5,40,8,Editors 1
ACF Nationals 2019,10,20191002,Carnegie Mellon,UG,New College of Florida,W,185,105,9,3,9,110,12.22,Editors 1
ACF Nationals 2019,10,20191002,New College of Florida,NA,Carnegie Mellon,L,105,185,5,1,5,60,12,Editors 1
